timestamp,device_id,device_name,device_type,P1_FCV01D,P1_FCV01Z,P1_FCV02D,P1_FCV02Z,P1_FCV03D,P1_FCV03Z,P1_FT01,P1_FT01Z,P1_FT02,P1_FT02Z,P1_FT03,P1_FT03Z,P1_LCV01D,P1_LCV01Z,P1_LIT01,P1_PCV01D,P1_PCV01Z,P1_PCV02D,P1_PCV02Z,P1_PIT01,P1_PIT01_HH,P1_PIT02,P1_PP01AD,P1_PP01AR,P1_PP01BD,P1_PP01BR,P1_PP02D,P1_PP02R,P1_PP04,P1_PP04D,P1_PP04SP,P1_SOL01D,P1_SOL03D,P1_STSP,P1_TIT01,P1_TIT02,P1_TIT03,P2_24Vdc,P2_ATSW_Lamp,P2_AutoGO,P2_AutoSD,P2_Emerg,P2_MASW,P2_MASW_Lamp,P2_ManualGO,P2_ManualSD,P2_OnOff,P2_RTR,P2_SCO,P2_SCST,P2_SIT01,P2_TripEx,P2_VIBTR01,P2_VIBTR02,P2_VIBTR03,P2_VIBTR04,P2_VT01,P2_VTR01,P2_VTR02,P2_VTR03,P2_VTR04,P3_FIT01,P3_LCP01D,P3_LCV01D,P3_LH01,P3_LIT01,P3_LL01,P3_PIT01,P4_HT_FD,P4_HT_PO,P4_HT_PS,P4_LD,P4_ST_FD,P4_ST_GOV,P4_ST_LD,P4_ST_PO,P4_ST_PS,P4_ST_PT01,P4_ST_TT01,x1001_05_SETPOINT_OUT,x1001_15_ASSIGN_OUT,x1002_07_SETPOINT_OUT,x1002_08_SETPOINT_OUT,x1003_10_SETPOINT_OUT,x1003_18_SETPOINT_OUT,x1003_24_SUM_OUT
2022-08-12 16:20:00,hai-testbed-01,HAI 23.05 industrial testbed,industrial_control_system,22.81114,23.14911,15,12.42981,52.43598,53.88031,62.59917,322.95383,544.39539,1529.48047,239.02892,983.9859,18.85424,18.60199,349.54788,24.73504,24.48425,12,11.68976,0.88974,524320,1.37726,0,0,1,1,1,1,0,0,27.48882,524320,524320,1,32.09534,36.44409,27.4682,28.02558,1,1,119.04872,0,0,0,0,12.92742,1,2880,54778,720.79321,924,1,6.6754,-2.5884,9.6468,-0.8064,12.01998,50,50,50,50,1920,13816,-128,70,17280,30,4077,-0.00014,0.01807,7.94045,344.09363,7e-05,17623,345.72119,320.89117,20.16145,9913,27272,0.05148,1.00147,348.79922,982.02313,1530.70117,26.47805,30.14471
2022-08-12 16:20:01,hai-testbed-01,HAI 23.05 industrial testbed,industrial_control_system,23.33496,23.04993,15,12.42981,52.42813,53.88031,61.64551,325.93298,544.01392,1483.82605,239.02892,983.9859,18.87119,18.60199,349.59897,24.84502,24.48425,12,11.68976,0.8905,524320,1.38565,0,0,1,1,1,1,0,0,27.48882,524320,524320,1,32.08007,36.42883,27.4682,28.02558,1,1,119.04872,0,0,0,0,12.92742,1,2880,54777,720.79321,924,1,6.6754,-3.2998,9.6468,-0.8064,12.01998,50,50,50,50,1920,13816,-128,70,17362,30,4086,-0.00014,0.01807,7.94045,345.66693,0.00203,17715,347.76471,322.93475,20.16145,9913,27268,0.05148,1.0104,348.79922,982.02313,1529.48047,26.47805,30.17447
2022-08-12 16:20:02,hai-testbed-01,HAI 23.05 industrial testbed,industrial_control_system,23.16396,23.13385,15,12.42981,52.42028,53.88031,61.64551,320.96759,544.77686,1483.33777,239.6011,985.29053,18.83854,18.60199,349.70123,24.93499,24.49188,12,11.68976,0.88898,524320,1.38565,0,0,1,1,1,1,0,0,27.48882,524320,524320,1,32.1106,36.42883,27.4682,28.0326,1,1,119.04872,0,0,0,0,12.92742,1,2880,54778,720.86377,924,1,7.149,-2.4957,9.8369,-0.6408,12.03236,50,50,50,50,1902,13816,-128,70,17420,30,4068,-0.00036,0.01807,7.94045,348.4339,-0.00029,17937,348.54242,326.04529,20.16145,9913,27270,0.05148,1.01681,348.79922,982.02313,1483.82605,26.47805,30.19583
2022-08-12 16:20:03,hai-testbed-01,HAI 23.05 industrial testbed,industrial_control_system,22.94318,23.0423,15,12.42981,52.35764,53.88031,61.07325,320.96759,537.52893,1484.31433,239.79187,985.72546,18.76872,18.60199,349.70123,25.03199,24.48425,12,11.68976,0.8905,524320,1.38794,0,0,1,1,1,1,0,0,27.48882,524320,524320,1,32.08007,36.42883,27.4682,28.03345,1,1,119.04872,0,0,0,0,12.92742,1,2880,54777,720.72406,922,1,6.5652,-3.1703,9.8029,-1.0673,11.94038,50,50,50,50,1912,13816,-128,70,17504,30,4087,-0.00014,0.01807,7.94045,349.50092,0.00014,17998,351.54443,327.74518,20.16145,9913,27271,0.05148,1.02173,348.79922,982.02313,1483.33777,26.47805,30.21223
2022-08-12 16:20:04,hai-testbed-01,HAI 23.05 industrial testbed,industrial_control_system,22.91939,23.05755,15,12.42981,52.3263,53.88031,62.02699,317.98807,539.24554,1475.03699,239.02892,983.9859,18.72059,18.60199,349.80344,25.1288,24.48425,12,11.68976,0.89127,524320,1.38641,0,0,1,1,1,1,0,0,27.48882,524320,524320,1,32.09534,36.42883,27.4682,28.03345,1,1,119.04872,0,0,0,0,12.92742,1,2880,54778,720.68945,923,1,7.44,-2.9203,10.1174,-0.7426,11.97638,50,50,50,50,1892,13816,-128,70,17583,30,4039,-0.00014,0.01807,7.94045,352.28589,0,18147,352.77417,330.00574,20.16145,9913,27276,0.05148,1.02905,348.79922,982.02313,1484.31433,26.47805,30.23664
2022-08-12 16:20:05,hai-testbed-01,HAI 23.05 industrial testbed,industrial_control_system,22.69524,23.02704,15,12.42981,52.38455,53.88031,62.78987,322.95383,541.53442,1477.23425,239.21962,984.42072,18.77561,18.60199,349.75232,25.23973,24.48425,12,11.68976,0.89127,524320,1.38794,0,0,1,1,1,1,0,0,27.48882,524320,524320,1,32.09534,36.44409,27.4682,28.03601,1,1,119.04872,0,0,0,0,12.92742,1,2880,54778,720.58392,923,1,6.6405,-2.6363,9.6432,-0.852,12.01737,50,50,50,50,1883,13816,-128,70,17654,30,4020,-0.00014,0.01807,7.94045,351.14661,0.00145,18191,351.59869,331.03662,20.16145,9913,27274,0.05148,1.03775,348.79922,982.02313,1475.03699,26.47805,30.26564
2022-08-12 16:20:06,hai-testbed-01,HAI 23.05 industrial testbed,industrial_control_system,22.45752,23.03467,15,12.42981,52.35844,53.88031,62.21769,326.9259,541.15295,1480.16406,239.21962,984.42072,18.732,18.60199,349.75232,25.334,24.83521,12,11.68976,0.89508,524320,1.38641,0,0,1,1,1,1,0,0,27.48882,524320,524320,1,32.1106,36.44409,27.4682,28.03601,1,1,119.04872,0,0,0,0,12.92742,1,2880,54777,720.58392,923,1,6.6405,-3.3128,9.6432,-0.852,12.01737,50,50,50,50,1873,13216,-128,70,17565,30,3964,-0.00014,0.01807,7.94045,350.2785,0.00101,18260,351.03802,332.44714,20.16145,9913,27284,0.05148,1.04176,348.79922,982.02313,1477.23425,26.47805,30.27899
2022-08-12 16:20:07,hai-testbed-01,HAI 23.05 industrial testbed,industrial_control_system,22.25898,23.02704,15,12.42981,52.34885,53.88031,63.17135,323.94675,544.39539,1479.67578,239.98257,985.29053,18.68258,18.60199,349.54788,25.39463,25.65918,12,11.68976,0.90958,524320,1.38489,0,0,1,1,1,1,0,0,27.48882,524320,524320,1,32.09534,36.42883,27.4682,28.02564,1,1,119.04872,0,0,0,0,12.92742,1,2880,54778,720.54944,922,1,7.2145,-2.5837,9.8707,-0.6761,12.02038,50,50,50,50,1673,12552,-144,70,17592,30,3532,-0.00036,0.01807,7.94045,352.28589,-0.00022,18381,351.68909,334.47266,20.16145,9913,27272,0.05148,1.04279,348.79922,982.02313,1480.16406,26.47805,30.29425
2022-08-12 16:20:08,hai-testbed-01,HAI 23.05 industrial testbed,industrial_control_system,22.00476,23.02704,15,12.42981,52.30273,53.61328,63.93431,328.91214,540.19928,1483.82605,239.02892,986.16028,18.66632,18.60962,349.80344,25.41101,25.77362,12,11.68976,0.91721,524320,1.38489,0,0,1,1,1,1,0,0,27.48882,524320,524320,1,32.09534,36.45935,27.4682,28.03521,1,1,119.04872,0,0,0,0,12.92742,1,2880,54778,720.45355,920,1,6.4886,-2.9523,9.6737,-0.9757,11.97125,50,50,50,50,1267,11928,-144,70,17929,30,3131,-0.00014,0.05423,7.94045,352.62946,0.00051,18487,353.58801,336.263,20.16145,9913,27271,0.05148,1.04633,348.79922,982.02313,1479.67578,26.47805,30.31485
2022-08-12 16:20:09,hai-testbed-01,HAI 23.05 industrial testbed,industrial_control_system,21.89738,22.49298,15,12.42981,52.25313,53.61328,63.55283,332.88461,522.46094,1478.45508,237.88448,983.9859,18.6962,18.60199,349.85458,25.47178,25.70496,12,11.68976,0.92026,524320,1.39252,0,0,1,1,1,1,0,0,27.48882,524320,524320,1,32.1106,36.44409,27.4682,28.03341,1,1,119.04872,0,0,0,0,12.92742,1,2880,54777,720.58453,919,1,7.2939,-3.2193,10.1521,-0.8961,11.94251,50,50,50,50,663,11336,-144,70,17903,30,2841,-0.00036,0.05423,7.94045,355.03473,-0.00217,18628,355.39636,338.32465,20.16145,9913,27276,0.05148,1.05251,348.79922,982.02313,1483.82605,26.47805,30.32553
